,repo,topics
593,simdjson/simdjson,"Parsing large amounts of JSON data efficiently,High-speed data processing,Performance optimization for data parsing,Techniques for handling structured data at scale"
594,statsd/statsd,"Daemon,Stats Aggregation,Easy and Powerful"
595,node-red/node-red,"Low-code programming,Event-driven applications"
596,darkreader/darkreader,"Dark Reader,Chrome Extension,Firefox Extension"
597,wailsapp/wails,"Application Development,Software Engineering,Go Programming Language,User Interface Design"
598,tc39/proposals,"ECMAScript Proposals,TC39,ECMA-262,JavaScript,Proposal Stages,Proposal Repository,Babel Plugin,Proposal Tracking Tools"
599,authelia/authelia,"Single Sign-On,Multi-Factor Authentication,Web Applications,Portal"
600,quozd/awesome-dotnet,".NET libraries,tools,frameworks,software"
601,slimtoolkit/slim,"Container image optimization,Minification,Security,Open source,Free toolkit"
602,keycloak/keycloak,"Identity and Access Management,Open Source IAM Solutions,Modern Applications and Services,Security and Compliance,User Experience and Integration"
603,fchollet/deep-learning-with-python-notebooks,"Jupyter notebooks,Code samples,Deep Learning with Python book"
604,ossu/data-science,"Self-taught Education,Data Science,Free Resources,Online Learning,Career Path"
605,astral-sh/ruff,"Python linter,Rust programming language"
606,micropython/micropython,"MicroPython,Python implementation,microcontrollers,constrained systems"
607,nfl/react-helmet,"React,Document Head,Header Management,Metadata Control,SEO Optimization"
608,ionic-team/ionicons,"Icons,Ionic,Hand-crafted,Apps"
609,pulumi/pulumi,"Pulumi,Infrastructure as Code,Programming Language Agnosticism,Cloud Infrastructure,Familiar Language Abstraction"
610,jtoy/awesome-tensorflow,"TensorFlow,Curated List,Dedicated Resources"
611,wechaty/wechaty,"Conversational RPA,SDK,Chatbot Makers"
612,flutter/plugins,Plugins for Flutter maintained by the Flutter team
613,less/less.js,"Dynamic Stylesheet Language,Less Language Features,Variables and Mixins,Nested Rules and Parent Selectors,Operations and Functions,Less Compilation and Integration"
614,facebook/fresco,"Android library,Image management,Memory management"
615,wbkd/react-flow,"Interactive node-based UI,Workflow editor,Flow chart,Static diagram,Customizability"
616,joewalnes/websocketd,"WebSocket server,STDIN/STDOUT,inetd"
617,material-components/material-components-web,"Material Design,UI Components,Modular Design,Customizability,Web Development"
618,teambit/bit,"Composable software development,Software composition,Tool for composability"
619,matryer/xbar,"macOS Menu Bar,BitBar,script output,program output,menu bar integration"
620,decaporg/decap-cms,"Git-based CMS,Static Site Generators,Content Management,Version Control,Decoupled CMS"
621,oblador/react-native-vector-icons,"Customizable Icons,React Native,Image Source,Full Styling"
622,sharkdp/hyperfine,Command-line benchmarking tool
623,remotion-dev/remotion,"Creating videos with React,Programmatic video generation,React for video content creation"
624,magic-wormhole/magic-wormhole,"Data Transfer,Data Security"
625,appium/appium,"Cross-platform automation,W3C WebDriver protocol,Automation framework for apps"
626,fullcalendar/fullcalendar,"Full-sized drag and drop event calendar,JavaScript implementation,Interactive user interface,Event management functionality,Customizable design and styling"
627,android/compose-samples,Official Jetpack Compose samples
628,spotify/luigi,"Luigi,Python module,batch job pipelines,dependency resolution,workflow management,visualization,Hadoop support"
629,gedoor/legado,"Legado 3.0 Book Reader,Customizable online reading,Online literature,Reading comfort and convenience"
630,upscayl/upscayl,"AI Image Upscaler,Open Source,Linux,MacOS,Windows"
631,diem/diem,"Building a trusted financial network,Innovation in finance,Empowering people and businesses globally"
632,emotion-js/emotion,"CSS-in-JS,high performance,style composition"
633,prisma/prisma1,"Database Tools,ORM (Object-Relational Mapping),Migrations,Admin UI,Deprecated Databases: Postgres, MySQL, MongoDB"
634,umami-software/umami,"Umami,Google Analytics Alternative,Privacy-Focused,Simple,Fast"
635,google/fonts,"Font files available from Google Fonts,Public issue tracker for all things Google Fonts"
636,vitessio/vitess,"database clustering,horizontal scaling,MySQL"
637,so-fancy/diff-so-fancy,diffs
638,alsotang/node-lessons,"Node.js,包教不包会,alsotang"
639,allinurl/goaccess,"real-time web log analysis,interactive viewer for terminal in *nix systems and browsers"
640,hubotio/hubot,Customizable life embetterment robot
641,lewagon/setup,"Setup instructions,Le Wagon's students,First day of Web Development Bootcamp"
642,ladjs/superagent,"Ajax for Node.js,Ajax for browsers,JS HTTP client,Maintenance for specific organizations/projects: @forwardemail, @ladjs, @spamscanner, @breejs, @cabinjs, @lassjs"
643,krahets/hello-algo,"数据结构,算法,动画图解,多语言支持"
644,tj/git-extras,"repo summary,repl,changelog population,author commit percentages,GIT utilities"
645,quantopian/zipline,"Pythonic Algorithmic Trading,Zipline Library"
646,facebook/yoga,"Yoga layout engine,Cross-platform support,Flexbox implementation"
647,iview/iview-admin,"Vue 2.0,Admin Management System,Template,iView"
648,fivethirtyeight/data,"Data and code accessibility,FiveThirtyEight's commitment to transparency,Reproducibility of articles and graphics,Providing resources for readers and journalists"
649,openzipkin/zipkin,"distributed tracing,tracing system"
650,rubocop/ruby-style-guide,"Community-driven,Ruby,Coding Style Guide"
651,vueuse/vueuse,"Vue Composition Utilities,Vue 2,Vue 3"
652,dexteryy/spellbook-of-modern-webdev,"JavaScript Web Development,Modern JavaScript Landscape,JavaScript Concepts and Features,Web Development Tools and Frameworks,JavaScript Community and Resources"
653,nickbutcher/plaid,"Android app,Design news,Inspiration,Material design implementation"
654,simple-icons/simple-icons,"SVG icons,popular brands,logo design,vector graphics"
655,miloyip/game-programmer,"Game Programming,Software Development,Computer Science Fundamentals,Mathematics,Physics,Game Engines,Artificial Intelligence,Graphics and Rendering,Animation,Audio Programming,Network Programming,Security and Optimization,User Interface Design,Project Management,Game Design Principles"
656,sismo-core/sismo-badges,"Sismo Badge Minting Protocol,Contracts,Badge Minting Process,Roles and Access Control,Badge Verification,Smart Contract Interactions"
657,wagerfield/parallax,"Parallax Engine,Smart device orientation reaction"
658,redwoodjs/redwood,The App Framework for Startups
659,facebook/prophet,"Time series forecasting,Multiple seasonality,Linear and non-linear growth modelling"
660,microsoft/fluentui,"Fluent UI web,utilities,React components,web components,building web applications"
661,dvajs/dva,"React,Redux,Lightweight framework,Elm-style,Inspired by Elm and Choo"
662,nhn/tui.editor,"Markdown WYSIWYG Editor,GFM Standard,Chart & UML Extensibility"
663,cilium/cilium,"eBPF-based Networking,Security,Observability"
664,recommenders-team/recommenders,"Recommendation Systems,Collaborative Filtering,Content-Based Filtering,Hybrid Recommendation Systems,Personalization Techniques,Evaluation Metrics,User Interaction Data,Machine Learning Algorithms,Ethical Considerations,Real-World Applications"
665,easychen/howto-make-more-money,"程序员如何优雅的挣零花钱，2.0版，升级为小书了,Most of this not work outside China , so no English translate"
666,google/filament,"Rendering engine,Physically based rendering,Filament engine,Supported platforms"
667,ruanyf/react-demos,"React.js,Demos"
668,kivy/kivy,"Open-source UI framework,Python programming language,Cross-platform support (Windows, Linux, macOS, Android, iOS)"
669,30-seconds/30-seconds-of-css,"CSS,Code Snippets,Web Development"
670,sweetalert2/sweetalert2,"Replacement for JavaScript's popup boxes,Highly customizable and accessible with WAI-ARIA support,Responsive design,Zero dependencies"
671,xbmc/xbmc,"Kodi software,open-source and free nature,interface and skinning engine,cross-platform availability"
672,rakyll/hey,"HTTP load generator,ApacheBench (ab) replacement"
673,emilk/egui,"egui,immediate mode GUI,Rust programming language,web and native compatibility"
674,desandro/masonry,"Cascading grid layout,Plugin"
675,salomonelli/best-resume-ever,"Resume building,CV creation,Vue,LESS"
676,janl/mustache.js,Minimal templating with mustaches in JavaScript
677,lottie-react-native/lottie-react-native,"Lottie wrapper for React Native,Lottie file format,Animation,React Native,Performance,Community and contributions"
678,wasmerio/wasmer,"WebAssembly Runtime,WASIX,WASI,Emscripten"
679,cube-js/cube,"Cube,Semantic Layer,Data Applications,Data Modeling,Data Security,Data Connectivity,Data Freshness,Data Exploration,Data Observability"
680,binux/pyspider,"Python programming language,Web crawling,Spider or crawler system development,Web data extraction,Web scraping techniques"
681,liriliri/eruda,Console for mobile browsers
682,browsh-org/browsh,"Text-based browser,Rendering to TTY and browsers"
683,swagger-api/swagger-codegen,"swagger-codegen,template-driven engine,documentation generation,API clients generation,server stubs generation,OpenAPI / Swagger definition parsing"
684,realm/realm-swift,"Mobile database,Realm database,Core Data replacement,SQLite replacement"
685,chatwoot/chatwoot,"Open-source software,Customer engagement,Customer relationship management (CRM),Alternative to popular CRM tools"
686,grpc-ecosystem/grpc-gateway,"gRPC to JSON proxy generator,gRPC HTTP spec"
687,rasbt/deeplearning-models,"Deep Learning Architectures,Deep Learning Models,Tips and Tricks for Deep Learning"
688,lettier/3d-game-shaders-for-beginners,"SSAO implementation,Depth of field techniques,Lighting effects,Normal mapping application"
689,plotly/plotly.js,"Open-source JavaScript charting library,Plotly,Dash"
690,alievk/avatarify-python,"Avatars,Video-conferencing applications,Zoom,Skype"
691,infernojs/inferno,"JavaScript library,React-like,Building modern user interfaces,Performance emphasis (indicated by the fire emoji)"
692,pouchdb/pouchdb,"PouchDB,Database"
693,yabwe/medium-editor,"Medium.com WYSIWYG editor clone,contenteditable API,rich text solution"
694,iissnan/hexo-theme-next,"Hexo,Elegant theme,Installation,Configuration,Customization,Features,Support,Updates"
695,markdown-it/markdown-it,"Markdown parser,CommonMark support,Extensions,Syntax plugins,High speed"
696,alexpate/awesome-design-systems,"Design systems,Awesome tools,Design resources,Design system examples,Design system platforms"
697,nodemailer/nodemailer,"Sending emails with Node.JS,Node.JS email capabilities,Easy and efficient email integration with Node.JS"
698,openwrt/openwrt,"openwrt repository mirror,pull request process"
699,rsms/inter,The Inter font family
700,sorrycc/awesome-javascript,"JavaScript libraries,Browser-side resources,Shiny things related to JavaScript"
701,mhinz/vim-galore,"Vim,Plugins,Customization,Productivity,Text Editing,Command-line,Programming,Efficiency,Configuration,Scripting"
702,ahmetb/kubectx,"kubectl,clusters,namespaces,faster switching"
703,sveltejs/kit,"Web Development,Streamlined Processes"
704,mdx-js/mdx,"Markdown,Component Era,Design Systems,Collaboration,Tooling,Interoperability,Accessibility,Performance,Design and Development Workflows"
705,tabler/tabler-icons,"MIT-licensed SVG icons,Free SVG icons,Web project icons"
706,mattermost/focalboard,"Focalboard,Open source,Self-hosted,Project management tools,Alternatives to Trello,Alternatives to Notion,Alternatives to Asana"
707,mingrammer/diagrams,"Diagram as Code,prototyping,cloud system architectures"
708,carbon-language/carbon-lang,"documents,design,implementation,related tools,experimental nature"
709,bayandin/awesome-awesomeness,"Curated Lists,Awesomeness,Resources,Tools,Software"
710,google-research/google-research,"Natural Language Processing,Computer Vision,Machine Learning,Artificial Intelligence,Deep Learning,Data Science,Software Engineering,Human-Computer Interaction,Robotics,Ethics and Society"
711,google/googletest,"GoogleTest,Testing Framework,Mocking Framework"
712,kovidgoyal/calibre,"calibre ebook manager,source code repository"
713,flatpickr/flatpickr,"JavaScript,DateTimePicker,Lightweight,No Dependencies"
714,yuzu-emu/yuzu,Nintendo Switch emulator
715,markedjs/marked,"Markdown parser,Compiler,Speed"
716,curl/curl,"libcurl,data transfer,URL syntax,supported protocols,features"
717,hasura/graphql-engine,"GraphQL APIs,Fine-grained access control,Database event webhooks"
718,vuejs/vue-cli,"webpack-based tooling,Vue.js Development"
719,foundation/foundation-sites,"responsive front-end framework,rapid prototyping,production code,device compatibility"
720,bradtraversy/50projects50days,"Web projects,HTML,CSS,JavaScript"
721,sudheerj/reactjs-interview-questions,"ReactJS Interview Questions,Interview Answers,Coding Exercise Questions"
722,mathiasbynens/dotfiles,"macOS customization,hacker defaults,.files and ~/.macos"
723,lukehoban/es6features,"Overview of ECMAScript 6 features,Const and Let for Variable Declaration,Arrow Functions,Template Literals,Destructuring Assignment,Spread and Rest Operators,Classes and Inheritance,Modules,Promises for Asynchronous Programming,Enhanced Object Properties"
724,vasanthk/react-bits,"React patterns,React techniques,React tips,React tricks"
725,ariya/phantomjs,"Scriptable Headless Browser,Automation,Web Testing,Dynamic Content,Browser Control,Privacy,Efficiency,Customizability"
726,docker/compose,Define and run multi-container applications with Docker
727,plausible/analytics,"Open-source,Lightweight,Privacy-friendly,Web analytics,Google Analytics alternative"
728,jgm/pandoc,"Universal markup converter,Markup languages,Conversion process,Supported formats,Custom conversions,Accuracy and efficiency,User interface and experience,Integration with other tools,Use cases and applications,Security and privacy considerations"
729,alist-org/alist,"File list/WebDAV program,Multiple storage support,Gin framework,Solidjs framework"
730,airbnb/lottie-web,"After Effects animations,Web rendering,Android rendering,iOS rendering,React Native rendering"
731,react-boilerplate/react-boilerplate,"Scalability,Offline-first,Developer Experience,Performance,Best Practices"
732,ityouknow/spring-boot-examples,"Spring Boot,Tutorial,Example code,Quick start guide"
733,coreybutler/nvm-windows,"Node.js version management utility,Windows compatibility,Implemented in Go programming language"
734,jesseduffield/lazydocker,"Docker,Container Management,Automation,Lazy Approach"
735,atlassian/react-beautiful-dnd,"Drag and Drop,React,Accessibility,Lists"
736,ziadoz/awesome-php,"PHP libraries,PHP resources,PHP shiny things"
737,laravel/framework,The Laravel Framework.
738,odoo/odoo,"Odoo,Open Source Apps,Business Growth"
739,elsewhencode/project-guidelines,"Best practices for JavaScript projects,Folder Structure and File Organization,Code Style and Formatting,Error Handling and Debugging,Performance Optimization,Modularity and Reusability,Testing and Automation,Documentation and Comments,Version Control and Collaboration,Security Considerations"
740,beego/beego,"Beego,Open-source,High-performance,Web framework,Go programming language"
741,certbot/certbot,"Certbot,EFF,Let's Encrypt,HTTPS,ACME protocol,CA"
742,solidjs/solid,"declarative programming,efficient programming,flexible programming,JavaScript library,building user interfaces"
743,ccxt/ccxt,"JavaScript,TypeScript,Python,C#,PHP,Cryptocurrency trading API,Bitcoin/Altcoin exchanges"
744,niklasvh/html2canvas,"Screenshots,JavaScript"
745,appsmithorg/appsmith,"Admin panel framework,Internal tool-building,Dashboard creation,Database integration (15+ types),API integration"
746,symfony/symfony,Symfony PHP framework
747,httpie/cli,"HTTPie CLI,command-line HTTP client,API era,JSON support,colors,sessions,downloads,plugins"
748,square/leakcanary,"memory leak,detection library,Android"
749,standard/standard,"JavaScript Style Guide,Linter,Automatic Code Fixer"
750,tastejs/todomvc,"MV* framework selection,Todo apps,React.js,Ember.js,Angular"
751,fastify/fastify,"Web framework,Node.js,Low overhead,Fast performance"
752,sharkdp/fd,"Simple alternative to 'find' command,User-friendliness,Speed and performance"
753,alebcay/awesome-shell,"command-line frameworks,toolkits,guides,gizmos"
754,apolloconfig/apollo,"configuration management,microservices,Apollo"
755,photoprism/photoprism,"AI-Powered Photos App,Decentralized Web"
756,swc-project/swc,"Rust-based platform,Web development,WebAssembly,Web technologies"
757,yewstack/yew,"Rust programming language,Wasm (WebAssembly),Web application development,Client-side applications,Framework for building web apps"
758,sequelize/sequelize,"ORM for Node.js and TypeScript,Database Support: PostgreSQL, MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB, DB2, IBM i"
759,hashicorp/vault,"Secrets Management,Encryption as a Service,Privileged Access Management"
760,shadcn-ui/ui,"Radix UI,Tailwind CSS,Beautiful Design,UI Components"
761,codepath/android_guides,"Android Development,Open-Source Guides,Resources for Developers,Community Contributions,Best Practices and Tips"
762,vuejs/vuex,"Vue.js,Centralized State Management,Single Source of Truth,State Handling Patterns,Vuex Basics,Mutations and Actions,Module and Plugin System,Real-world Implementation Examples"
763,trpc/trpc,"End-to-end typesafe APIs,Productivity,Software Development,API Design"
764,jashkenas/backbone,"JavaScript Application Architecture,Model-View-Controller (MVC) Pattern,Backbone.js Framework,Models, Views, Collections, Events in Backbone.js,Benefits of using Backbone.js for JS Apps"
765,webtorrent/webtorrent,"Streaming torrent client,Web-based torrenting,Torrent client for browsers"
766,caolan/async,"Async utilities,Node.js,Browser compatibility"
767,kodecocodes/swift-algorithm-club,"Algorithms and Data Structures in Swift,Explanations and Examples,Swift Language Integration,Performance Optimization,Common Algorithms,Standard Data Structures,Sorting and Searching,Graph Algorithms,Dynamic Programming,Recursion and Iteration"
768,gofiber/fiber,"Web framework,Go programming language,Express-inspired framework"
769,herrbischoff/awesome-macos-command-line,"macOS,Terminal,Shell"
770,postcss/postcss,"JavaScript plugins,CSS transformations,3D transformations,Animation,Interactivity"
771,sqlmapproject/sqlmap,"SQL injection,Database takeover,Automation tools"
772,donnemartin/interactive-coding-challenges,"Python coding interview challenges,algorithms,data structures,Anki flashcards"
773,cockroachdb/cockroach,"CockroachDB,open source,cloud-native,distributed SQL database"
774,ianstormtaylor/slate,"Customizable framework,Building rich text editors,Beta version"
775,trailofbits/algo,"Personal VPN,Cloud,VPN in the Cloud,Privacy,Security"
776,microsoft/calculator,"Windows Calculator,Features and Usability,Functionality and Modes,User Interface and Customization,System Integration and Compatibility"
777,vercel/swr,React Hooks for Data Fetching
778,yunjey/pytorch-tutorial,"PyTorch Tutorial,Deep Learning Researchers,PyTorch for Deep Learning,Building Neural Networks with PyTorch,Optimizing and Training Models,Using PyTorch for Research and Development"
779,transloadit/uppy,"open source software,file uploading,web browsers"
780,slidevjs/slidev,"Introduction and Overview,Design and Architecture,Code Examples and Best Practices,Version Control and Collaboration,Testing and Debugging,Performance Optimization,Security Considerations,Deployment and Hosting,Q&A and Wrap-up"
781,facebookresearch/fairseq,"Facebook AI Research,Sequence-to-Sequence Toolkit,Python"
782,jashkenas/underscore,"JavaScript's utility belt,Functional programming,Array manipulation,Polyfills,Browser compatibility,Community and contribution guidelines"
783,kubernetes/minikube,Run Kubernetes locally
784,dani-garcia/vaultwarden,"Bitwarden compatible server,Rust programming language,Former project name: bitwarden_rs"
785,zsh-users/zsh-autosuggestions,"Fish-like autosuggestions,Zsh shell,Command line interface,Shell scripting,Productivity tools"
786,harness/drone,"Drone,Container-Native,Continuous Delivery,Platform"
787,ray-project/ray,"Ray framework,Scaling AI and Python applications,Distributed runtime,Ray AIR,ML workload acceleration"
788,alibaba/nacos,"dynamic service discovery,configuration,service management,cloud native applications"
789,streamlit/streamlit,"Streamlit,Data Apps,App Building,Productivity,Sharing and Collaboration"
790,huggingface/pytorch-image-models,"PyTorch image models,scripts,pretrained weights,ResNet,ResNeXT,EfficientNet,EfficientNetV2,NFNet,Vision Transformer,MixNet,MobileNet-V3/V2,RegNet,DPN,CSPNet"
791,lukasz-madon/awesome-remote-job,"Remote jobs,Remote work resources"
792,floating-ui/floating-ui,"JavaScript library,Position floating elements,Create interactions"
793,portainer/portainer,"Docker Management,Kubernetes Management,Container Orchestration,Containerization,Cloud Native Technologies"
794,codemirror/codemirror5,"In-browser code editor,Version 5,Legacy features"
795,rethinkdb/rethinkdb,"open-source database,realtime web"
796,pmndrs/react-spring,"Spring physics,Animation,React,Library"
797,angular/angular-cli,CLI tool for Angular
798,encode/django-rest-framework,"Web APIs,Django"
799,alibaba/spring-cloud-alibaba,"Spring Cloud Alibaba,Application Development,Distributed Solutions,Alibaba Middleware"
800,python-poetry/poetry,"Python packaging,Dependency management"
801,balena-io/etcher,"Flashing OS images,SD cards,USB drives,Safety,Ease of use"
802,digitalocean/nginxconfig.io,"NGINX config generator,steroids"
803,veggiemonk/awesome-docker,"Docker,Curated Lists,Resources,Projects"
804,influxdata/influxdb,"Scalable datastore,Metrics storage,Events storage,Real-time analytics"
805,lovell/sharp,"Node.js image processing,fast image resizing,supported image formats: JPEG, PNG, WebP, AVIF, TIFF,libvips library"
806,facebookresearch/detectron2,"object detection,segmentation,visual recognition"
807,nushell/nushell,"Introduction of a new type of shell,Unique characteristics and features of this shell,Potential applications and benefits,Comparison with traditional shells,Impact and implications for users and the industry"
808,viraptor/reverse-interview,"Company Culture and Values,Day-to-Day Work and Expectations,Team Dynamics and Management,Performance Evaluation and Growth Opportunities,Company Direction and Future Goals,Training and Support Provided,Work-Life Balance and Company Benefits,Challenges and Problem-Solving Approaches"
809,facebook/rocksdb,"Embeddable library,Persistent key-value store,Fast storage"
810,facebook/folly,"Open-source software,C++ programming language,Facebook's software development"
811,immerjs/immer,"State Management,Immutability,Mutation"
812,jamiebuilds/the-super-tiny-compiler,"Small compiler,Code size,Compiler construction"
813,jqlang/jq,"Introduction to Natural Language Processing,History and Evolution of NLP,Applications of NLP,Challenges and Future of NLP,Tokenization and Text Processing,Part-of-Speech Tagging and Syntax Analysis,Semantic Analysis and Natural Language Understanding,Language Generation and Translation,Machine Learning and Deep Learning in NLP,Evaluating NLP Models"
814,select2/select2,"Select2,jQuery,select boxes replacement,searching functionality,remote data sets,infinite scrolling"
815,fabricjs/fabric.js,"Javascript Canvas Library,SVG-to-Canvas Parser,Canvas-to-SVG Parser"
816,suno-ai/bark,"Text-to-Speech Synthesis,Generative Audio Modeling,Deep Learning,Audio Generation from Text,Natural Language Processing"
817,apache/kafka,"Mirror of Apache Kafka,Confluent Open Source,Kafka Connect,Kafka's API,Kafka's Connect API"
818,tqdm/tqdm,"Progress Bar,Python,Command-Line Interface (CLI)"
819,ageron/handson-ml2,"Jupyter notebooks,Fundamentals of Machine Learning,Deep Learning,Python,Scikit-Learn,Keras,TensorFlow 2"
820,cfenollosa/os-tutorial,"Operating System development,Software Architecture,Bootloader implementation,Kernel development,Memory management,Process and Thread management,Device drivers,File systems,Interprocess communication,User interface design"
821,bevyengine/bevy,"data-driven game engine,Rust programming language"
822,remy/nodemon,"Node.js application monitoring,Automatic server restart,Development tool"
823,donnemartin/data-science-ipython-notebooks,"Deep learning,scikit-learn,Kaggle,Big data,Data visualization,Data manipulation,Numerical computing,Scientific computing,Python essentials,AWS,Command lines"
824,pocketbase/pocketbase,"Open Source,Realtime,Backend,1 file"
825,alibaba/fastjson,"FASTJSON 2.0.x release,Performance improvements,Security enhancements,Recommendation to upgrade"
826,open-mmlab/mmdetection,"Object Detection,Instance Segmentation,OpenMMLab Detection Toolbox,Model Benchmarking,MMDetection,Data Pipelines,Model Zoo,Evaluation Metrics"
827,go-kit/kit,"Microservices,Standard Library,Software Development"
828,docker/awesome-compose,"Docker Compose,Samples and Examples,Containerization,Microservices,Development Environment,Deployment,Networking,Database Management"
829,ggreer/the_silver_searcher,"code-searching tool,ack alternative,faster performance"
830,bvaughn/react-virtualized,"React components,Rendering large lists,Tabular data"
831,hashicorp/vagrant,"building development environments,distributing development environments,tool for development"
832,zeromicro/go-zero,"Cloud-native,Go Microservices Framework,CLI Tool,Productivity"
833,dwmkerr/hacker-laws,"Laws, Theories, Principles, and Patterns,Hacker Laws"
834,cmderdev/cmder,"Console emulator,Windows,Lovely package"
835,xuxueli/xxl-job,"Distributed task scheduling framework,XXL-JOB"
836,pnpm/pnpm,"package manager,disk space efficiency,speed"
837,dokku/dokku,"Docker,PaaS (Platform-as-a-Service),Application Lifecycle Management"
838,kilimchoi/engineering-blogs,"Engineering Blogs,Curated Lists,Technical Writing,Industry Insights,Trends and Innovations,Practical Guides,Case Studies,Thought Leadership"
839,mbeaudru/modern-js-cheatsheet,"JavaScript Knowledge Cheatsheet,Modern Projects,Frequently Encountered Topics"
840,nylas/nylas-mail,"desktop mail app,extensible,built on web technology,open to contributions and forks"
841,ziglang/zig,"General-purpose programming language,Toolchain,Software maintenance,Robust software,Optimal software,Reusable software"
842,akveo/ngx-admin,"Admin dashboard template,Angular 10+"
843,alpinejs/alpine,"JavaScript framework,Minimalism,Markup composition"
844,eugeneyan/applied-ml,"Data Science in Production,Machine Learning in Production,Papers and Tech Blogs by Companies,Practical ML and DS Applications"
845,sindresorhus/awesome-electron,Useful resources for creating apps with Electron
846,pjreddie/darknet,"Convolutional Neural Networks,CNN Architecture,CNN Layers,Filters and Feature Maps,Pooling and Subsampling,Applications of CNNs"
847,logseq/logseq,"privacy-first,open-source,knowledge management,collaboration"
848,statelyai/xstate,"State machines,Statecharts,Modern web development"
849,colinhacks/zod,"TypeScript-first schema validation,Static type inference"
850,remix-run/remix,"Web Development,User Experience,Web Fundamentals,Modern Design,Resilience"
851,dmlc/xgboost,"Gradient Boosting Library,Language Support: Python, R, Java, Scala, C++ and others,Deployment Options: Single Machine, Hadoop, Spark, Dask, Flink, DataFlow"
852,vadimdemedes/ink,🌈 React for interactive command-line apps
853,pbatard/rufus,"USB Formatting Utility,Reliability,Data Erasure,Compatibility,User Experience"
854,numpy/numpy,"Scientific computing,Python programming,Numerical computations,Data analysis,Plotting and visualization"
855,swagger-api/swagger-ui,"Swagger UI,HTML,JavaScript,CSS,API Documentation,Swagger Specification"
856,google/jax,"Python programming,NumPy library,Program transformations,Differentiation,Vectorization,Just-In-Time compilation,GPU/TPU acceleration"
857,kataras/iris,"HTTP/2 Go Web Framework,Modern and easy to learn,Fast development,Cost-performance ratio"
858,emscripten-core/emscripten,"Emscripten,LLVM-to-WebAssembly Compilation,WebAssembly Performance,Porting Projects to WebAssembly,Interoperability with JavaScript,Compiler Optimizations,Toolchain Integration"
859,sampotts/plyr,"HTML5,YouTube,Vimeo,Video Players"
860,mongodb/mongo,"MongoDB Database,NoSQL Database,Document-Oriented Storage,Schema Design,Indexing and Query Optimization,Replication and Sharding,Administration and Monitoring,Security and Authentication,MongoDB Use Cases,MongoDB Community and Ecosystem"
861,rome/tools,"Unified developer tools,JavaScript,TypeScript,Web development"
862,pypa/pipenv,"Python Development,Workflow,Human-centric Approach"
863,seata/seata,"Seata,Distributed Transaction Solution,Open Source,High Performance,Ease of Use"
864,jellyfin/jellyfin,Free Software Media System
865,quasarframework/quasar,"Quasar Framework,VueJS,User Interfaces,High-Performance,Rapid Development"
866,helix-editor/helix,"Post-modern design,Modal text editing"
867,tachiyomiorg/tachiyomi,"Free and open-source software,Manga,Android Application"
868,johnpapa/angular-styleguide,"Angular Style Guide,Angular development teams,consistency,good practices"
869,saadeghi/daisyui,"Tailwind CSS,Component library,Open-source,Free"
870,codex-team/editor.js,"Natural Language Processing,Chatbots,AI Assistants,Language Models,Clean JSON Output"
871,facebookresearch/faiss,"similarity search,clustering,dense vectors"
872,react-native-elements/react-native-elements,"Cross-Platform,React Native,UI Toolkit"
873,vuejs/devtools,"Browser devtools extension,Debugging,Vue.js applications"
874,termux/termux-app,"Termux,Android OS,Terminal emulator,Packages"
875,feathericons/feather,"Open source icons,Design,Aesthetic appeal,Usability"
876,charlax/professional-programming,"Learning Resources,Software Engineering,Curious Engineers"
877,discordjs/discord.js,"JavaScript library,Interacting with Discord API"
878,spf13/viper,"Go configuration,Fangs in Go,Structuring a Go project,Dependency management,Testing and benchmarking,Code formatting and linting,Building and distributing binaries"
879,lutzroeder/netron,"Neural network models,Deep learning models,Machine learning models,Visualizer tool"
880,nsqio/nsq,Realtime distributed messaging platform
881,hammerjs/hammer.js,"Javascript library,Multi-touch gestures"
882,getredash/redash,"Data Driven Culture,Data Connectivity,Data Visualization,Data Sharing"
883,vercel/pkg,"Node.js,Packaging Node.js applications,Creating executable files,Node.js project deployment"
884,taichi-dev/taichi,"Productivity,Portability,High Performance,Python Programming"
885,angular/components,"Component infrastructure for Angular,Material Design components for Angular"
886,matteocrippa/awesome-swift,"Swift libraries,Swift resources,Collaboration,Contribution"
887,datasciencemasters/go,"Data Science,Open Source Tools,Machine Learning,Data Analysis,Statistics and Mathematics,Data Visualization,Data Engineering,Capstone Projects and Real-world Applications"
888,servo/servo,"Servo Browser Engine,Browser Engine Design,Web Page Rendering,Parallelization,Security,Performance,Modularity,Web Standards Compliance"
889,nextcloud/server,"Nextcloud server,Data safety,Data storage,Data management"
890,pmndrs/react-three-fiber,"React renderer,Three.js"
891,v2fly/v2ray-core,"Building proxies,Bypassing network restrictions"
892,aframevr/aframe,"Web framework,Building virtual reality experiences"
893,brave/brave-browser,"Brave browser,Android,Linux,macOS,Windows"
894,qmk/qmk_firmware,"Keyboard firmware,Open-source software,Atmel AVR,Arm USB"
895,infinitered/ignite,"React Native project boilerplate,CLI (Command-Line Interface),Component/model generators"
896,flutter/samples,"Flutter,Examples,Demos,UI Components,Widget Gallery"
897,altercation/solarized,"color scheme,multiple applications,dark mode,light mode"
898,microsoft/react-native-windows,"Building native Windows apps,React framework"
